id,source,matching,destination,type,category,status,ignore
,https://www.springcard.com/fr/blog/news/the-prox-n-roll-rfid-scanner-a-swiss-army-knife-reader,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/the-springcard-s-website-is-new,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/thinfilm-talks-about-us,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/tip-2-using-springcard-usb-coupling-devices-under-android,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/tip1-memorycard-tool,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/twistyscan-the-best-of-rfid-and-2d-readers,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/un-emballage-qui-cartonne,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/vcub-mobile-the-bordeaux-nfc-bicycle-sharing-scheme-shifts-into-nfc,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/we-helped-creating-the-fastest-beer-dispenser-in-the-world,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/what-can-iot-do-for-you,exact,/blog/ce-que-l-iot-peut-faire-pour-vous/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/what-is-the-difference-between-a-reader-and-a-coupler,exact,/blog/lecteur-ou-coupleur-quelle-difference/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/what-is-the-difference-between-rfid-and-nfc,exact,/blog/quelle-est-la-difference-entre-rfid-et-nfc/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/what-is-the-rctif-certification,exact,/blog/certification-rctif-qu-est-ce-que-c-est/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/which-type-of-nfc-tag-is-the-most-interesting-for-you,exact,/blog/quel-type-de-tag-nfc-choisir/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/with-designa-and-springcard-park-your-car-easily,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/blog/news/with-nu-eat-healthy-and-reduce-waste,exact,/blog/,301,Posts,active,
,https://www.springcard.com/fr/products/antennas,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/apple-google-wallet-nfc-passes,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/cable-usb-a,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/crazywriter-hsp,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/durascan-d600,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/funkygate-dw-nfc,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/funkygate-dw-nfc-ble,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/funkygate-ip-pcsc,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/funkygate-ip-rdr,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/h663,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/h663s-usb-rdr,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/h663usb,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/k663,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/k663-rdr,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/k663s-rdr-xxx,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/k663s-xxx,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/m519,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/m519-sam-u-b,exact,/produits/m519/#produit-m519-sam,301,Products,active,
,https://www.springcard.com/fr/products/m519-suv,exact,/produits/m519/#produit-m519-suv,301,Products,active,
,https://www.springcard.com/fr/products/oem-prox-n-roll-hsp-pc-sc,exact,/produits/m519/,301,Products,active,
,https://www.springcard.com/fr/products/oem-prox-n-roll-hsp-rfid-scanner,exact,/produits/m519/,301,Products,active,
