ancienne_url,nouvelle_url,type,raison
https://www.springcard.com/fr/products/m519-suv,/produits/m519/#produit-m519-suv,Products,variante M519 toujours au catalogue
https://www.springcard.com/fr/products/oem-prox-n-roll-hsp-pc-sc,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/oem-prox-n-roll-hsp-rfid-scanner,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/prox-n-drive,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/prox-n-roll-oem,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/proxnroll-pcsc-hsp,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/proxnroll-rfid-scan-hsp,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/puck-base,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/puck-blue,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/puck-one,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/puck-point,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/rfid-nfc-cards,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/serial-interfaces,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/springbox-i,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/springfield-florida-tower,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/springpark,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/springpass,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/test-shopify,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/twistywriter,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/twistywriter-hsp,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/twistywriter-ip-pcsc,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/twistywriter-ip-rdr,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
https://www.springcard.com/fr/products/usb-interfaces,/produits/m519/,Products,produit abandonné (gamme recentrée sur M519)
